final_test_accuracy,final_train_accuracy,final_entropy,final_angle,best_test_accuracy,best_epoch,dataset,seed,experiment_type,weight,reg_id,experiment_dir,final_entropy_layer1,final_entropy_layer2,final_entropy_layer3,final_angle_layer1,final_angle_layer2,final_angle_layer3,config_dataset,config_model,config_dropout,config_optimizer,config_learning_rate,config_weight_decay,config_batch_size,config_epochs,config_early_stopping_patience,config_random_seed,config_use_regularization,temperature,threshold,layers,config_regularization_weight,config_regularization_temperature,config_regularization_similarity_threshold,delta_final_test_accuracy,delta_final_train_accuracy,delta_final_entropy,delta_final_angle,delta_best_test_accuracy
0.7932960893854749,0.8356741573033708,0.6434945960446696,11.556085586547852,0.8156424581005587,9,titanic,0,baseline,0.0,baseline,D:/concept_fragmentation_results\baselines\titanic\titanic_baseline_seed0_20250513,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
0.7988826815642458,0.8356741573033708,0.6434945960446696,6.362636089324951,0.8100558659217877,12,titanic,1,baseline,0.0,baseline,D:/concept_fragmentation_results\baselines\titanic\titanic_baseline_seed1_20250513,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
0.8044692737430168,0.8384831460674157,0.6465465398875019,8.676557540893555,0.8100558659217877,19,titanic,2,baseline,0.0,baseline,D:/concept_fragmentation_results\baselines\titanic\titanic_baseline_seed2_20250513,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
0.860067560651039,0.8641517160187342,0.5315331491315242,3.117398977279663,0.8622172177295526,7,adult,0,baseline,0.0,baseline,D:/concept_fragmentation_results\baselines\adult\adult_baseline_seed0_20250513,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
0.8593510082915344,0.8663271312671154,0.5140869506036532,81.63775634765625,0.8640597809397073,10,adult,1,baseline,0.0,baseline,D:/concept_fragmentation_results\baselines\adult\adult_baseline_seed1_20250513,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
0.8562800696079435,0.8674532285721598,0.5289548881144703,80.98214721679688,0.8622172177295526,6,adult,2,baseline,0.0,baseline,D:/concept_fragmentation_results\baselines\adult\adult_baseline_seed2_20250513,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
0.8333333333333334,0.8518518518518519,0.6252287961224005,11.864690780639648,0.8518518518518519,7,heart,0,baseline,0.0,baseline,D:/concept_fragmentation_results\baselines\heart\heart_baseline_seed0_20250513,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
0.8518518518518519,0.8796296296296297,0.612111902128393,23.341257095336914,0.9074074074074074,14,heart,1,baseline,0.0,baseline,D:/concept_fragmentation_results\baselines\heart\heart_baseline_seed1_20250513,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
0.8518518518518519,0.8842592592592593,0.6523971863481779,20.748699188232422,0.8518518518518519,7,heart,2,baseline,0.0,baseline,D:/concept_fragmentation_results\baselines\heart\heart_baseline_seed2_20250513,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
0.8858,0.8988,0.0384311544126497,63.8079839070638,0.8879,14,fashion_mnist,0,baseline,0.0,baseline,D:/concept_fragmentation_results\baselines\fashion_mnist\fashion_mnist_baseline_seed0_20250513,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
