variety,harvest_code,location,treatment,state,quality_overall,watercore,tree_vigor,fruit_drop,red_pct,color_pattern,comments,coarse_texture,harvest_load,fruit_load,eating_quality,scab_susc,brix,flavor,flesh_color,firm_or_soft,firmness_value,ground_color,over_color,image_url,size,shape,weight_grams,harvest_window,russeting,season,biennial,storage_quality,evaluation_date,drop_status,rootstock,preharvest_drop_pct,drop_location,texture,CAR_susc,fireblight_susc,skin_feel,skin_thick,starch_index,DA_meter,tree_habit,tree_vigor2,brix_numeric,firmness_numeric,red_pct_numeric,starch_numeric,routing,is_premium,size_numeric,season_numeric
Vista Bella,,Bolton,No,MA,"fair-good, lacking color",,medium,,,stripe-blush,"early seaon Mac-like, tart, soft flesh, does not keep well",absent,,medium-heavy,fair-good,,15.1,tart,green-white,soft,2.7,green,red,,small-medium,somewhat asymmetrical,,July 16-31,inconspicuous,early,,fair-good,7/28/2009,few,,0,,,,,dry,thin,10.2,,spreading,medium,15.1,2.7,,10.2,juice,False,1,1
Gravenstein?,,Belchertown,,MA,fair,,medium,,45,blush-stripe,"uneven maturity, with fruit turning red and dropping; fall flavor in an early apple",absent,,heavy,fair,,14.9,tart-sweet,green-white,soft,2.7,green,red,,small-medium,symmetrical,,,inconspicuous,early,,fair,8/11/2009,some,,0,,,,,dry,average,8,,spreading,medium,14.9,2.7,45.0,8.0,juice,False,1,1
Sunrise,,Belchertown,,MA,good,,medium,,50,solid,have to watch maturity on the tree; a flash-in-the-pan but decent early apple; grower-friendly tree and has been very productive; somewhat scab-susceptible,absent,,heavy,good,,15.6,tart-sweet,white,medium melting,3.0,green-yellow,red,http://www.appletesters.net/picts/2009/sunrise081709ma.jpg,medium-large,somewhat typey,,,inconspicuous,early,,good,8/17/2009,few,,0,,,,,dry,average,11,3.5 (2.5-6.5),spreading-upright,medium,15.6,3.0,50.0,11.0,fresh_standard,False,3,1
Sansa,,Belchertown,,MA,fair,,weak,,55,blush,"OK for first pick, but probably needs another week to develop best flavor; crop-load varies by tree; a definite early favorite, with a mostly sweet (vs. tart) flavor, but tree vigor and health have been issues",absent,,medium,good-excellent,,15.2,sweet-tart,white,crisp,2.9,green-yellow,orange-red,http://www.appletesters.net/picts/2009/sansa081709ma.jpg,small-medium,"somewhat asymmetrical, slightly typey",,,inconspicuous,early,,good-excellent,8/17/2009,none,,0,,,very (quince); less (cedar),less susceptible,slightly greasy,average,12.8,4.5 (3-6.5),drooping,weak,15.2,2.9,55.0,12.8,fresh_standard,False,1,1
Paulared,,Belchertown,,MA,fair,tendency,medium,,55,blush,"an average early apple, but popular for early sales; need to be all done when Mac season starts",absent,,heavy,fair,,14.7,tart,cream-yellow,soft,3.0,green,red,http://www.appletesters.net/picts/2009/paulared081909ma.jpg,medium-large,asymmetrical,,,conspicuous,early,,fair-good,8/19/2009,some,,0,,,,,dry,average,11.1,,upright,strong,14.7,3.0,55.0,11.1,juice,False,3,1
Ginger Gold,,Belchertown,,MA,excellent,,medium,,0,solid,"Pick over the next week; very good quality, has developed a following in many markets`",,,medium,good,,18.7,tart-sweet,green-white,crisp,3.1,green-yellow,yellow,http://www.appletesters.net/picts/2009/gingergold081909ma.jpg,medium-large,somewhat typey,,,inconspicuous,early,,good-excellent,8/19/2009,none,,0,,,,,dry,average,11.1,2,spreading,medium,18.7,3.1,0.0,11.1,fresh_premium,False,3,1
Akane,,Belchertown,,MA,fair,,strong,,75,blush,younger trees with a lightish crop; quality is sub-par; some water core and sunburn (internal flesh browning); some flyspeck,absent,,medium,fair,,17,tart,white,soft,3.2,green-yellow,red,http://www.appletesters.net/picts/2009/akane082109ma.jpg,medium-large,somewhat asymmetrical,,,conspicuous,early,,fair,8/21/2009,few,,5,stem,coarse,,,slightly greasy,average,14.2,6.9 (5-7),spreading-upright,medium,17.0,3.2,75.0,14.2,juice,False,3,1
Zestar!,,Belchertown,,MA,good,,weak,,35,blush-stripe,"lacking red color but otherwise excellent; fruit in very nice condition; definitely ready to go, but would like to see better color",absent,,light,excellent,,14.2,sweet-tart,cream-yellow,crisp,3.2,green-yellow,red,http://www.appletesters.net/picts/2009/zestar082109ma.jpg,large,somewhat asymmetrical,,,inconspicuous,early,,good-excellent,8/21/2009,none,,0,,,,,dry,thin,15.1,4.5 (3-6),upright,strong,14.2,3.2,35.0,15.1,fresh_standard,False,5,1
Akane,,Belchertown,,MA,fair-good,,,,75,blush-stripe,"not sure what we see in this apple? productive tree, but mediocre, soft flesh flavor; bright red color; a touch of watercore",absent,,medium,fair,,15.2,tart-sweet,white,soft,3.0,green-yellow,red,http://www.appletesters.net/picts/2009/akane082409ma.jpg,medium,somewhat asymmetrical,,,conspicuous,early,,fair,8/24/2009,few,,5,stem,coarse,,,slightly greasy,average,11.7,6.5 (6-7),,,15.2,3.0,75.0,11.7,juice,False,3,1
Sansa,,Belchertown,,MA,excellent,,,,70,blush,"among the best early apples, just about right now, but some uneven maturity observed; pick the largest apples",absent,,medium-heavy,excellent,,14.1,sweet,cream-yellow,crisp,3.0,yellow,orange-red,http://www.appletesters.net/picts/2009/sansa082409ma.jpg,small-medium,asymmetrical,,,conspicuous,early,,excellent,8/24/2009,none,,0,,,,,slightly greasy,thin,13.3,5.2 (3.5-8),,,14.1,3.0,70.0,13.3,fresh_premium,False,1,1
