variety,brix_numeric,firmness_numeric,starch_numeric,size_numeric,season_numeric,routing,variety_base_price,storage_days,price_per_lb,economic_loss
Fuji,16.914480939579573,3.9298270138142573,14.693805880331212,3.2272713687539336,4,fresh_standard,2.0,2.9597168916602334,1.75,0.0
Fuji,15.478458402139799,3.924447379876294,14.299581948664882,3.4614895032267086,4,fresh_standard,2.0,3.6152316850808273,1.75,0.0
Fuji,17.22367469683633,3.884634137700878,12.76344399485478,3.79485767163212,4,fresh_premium,2.0,3.029080927326903,2.8,0.0
Honeycrisp,14.254330537146425,3.4570123123334406,13.181666521138022,3.551372814257084,3,fresh_premium,3.24,26.116627630420787,2.8,0.0
Cortland,11.368851771582705,2.8246502905594415,10.413674221233217,3.6215493623452133,3,juice,1.5,15.481022418713742,0.06,1.44
Gala,12.45233793975714,2.835625852133833,11.358729364024422,4.0150706699939995,3,fresh_standard,1.75,18.211160373501084,1.75,0.0
Gala,12.397598850081268,2.8703698072509867,12.829097327697118,3.677945327084457,3,fresh_standard,1.75,2.963368317562342,1.75,0.0
Golden Delicious,15.0998927179911,2.8037815783004523,10.717485021085777,3.025470924983261,4,fresh_standard,1.5,37.50315003428418,1.75,0.0
Honeycrisp,14.342773072883375,3.7543080642185136,12.312874085342171,4.259673257120586,3,fresh_premium,3.24,2.310922063450966,2.8,0.0
Gala,13.143877710441854,3.0524305085408594,11.594581580614667,3.019976861361412,3,fresh_standard,1.75,10.760059781094082,1.75,0.0
Pink Lady,14.976294505250022,3.5108433481754537,14.060774119393674,4.052100551975938,5,fresh_standard,3.0,9.02576047539322,1.75,0.0
Cosmic Crisp,13.769361442009476,3.994643241367263,11.888118679373227,3.693605654757807,4,fresh_premium,2.93,0.22371947734473863,2.8,0.0
Gala,13.664255359442217,2.891240010832903,12.03740198876119,3.890681745094194,3,fresh_standard,1.75,12.027720908780012,1.75,0.0
Gala,12.922312243244134,2.9284881318108953,12.665660753576542,2.9487880931083437,3,fresh_standard,1.75,26.470424058655617,1.75,0.0
Empire,13.648434175941597,3.335671730962687,11.008140159496849,3.0893049616323216,3,fresh_standard,1.75,0.6358749115528052,1.75,0.0
Golden Delicious,12.845772970001834,3.2097236722241296,11.069598932562386,3.080302867899414,4,fresh_standard,1.5,6.739574653890302,1.75,0.0
Golden Delicious,13.402567253423673,3.1450752747731214,11.632113514228648,3.0223179180881026,4,fresh_standard,1.5,5.167095542509633,1.75,0.0
Fuji,15.615804267711743,3.9431986718726937,13.805420201836341,3.8016468844944886,4,fresh_premium,2.0,3.6020447607473787,2.8,0.0
McIntosh,11.924508361274386,2.569974742391018,10.371077241125246,4.9987443869771955,3,juice,1.5,0.2680291287112042,0.06,1.44
Jazz,14.348732714311932,3.4823288600355715,,3.2371718427149525,4,fresh_standard,3.0,13.017301014514391,1.75,0.0
Golden Delicious,13.823208655290584,3.1457900090738193,10.47294982447739,3.2185214874737547,4,fresh_standard,1.5,6.174328266877547,1.75,0.0
Fuji,15.549497875783134,3.865360998184102,14.907965436852537,4.661092424036138,4,fresh_standard,2.0,3.742422589800525,1.75,0.0
Red Delicious,11.824531297761776,2.9706333183818283,9.554516832698372,2.9632569370078716,4,juice,1.25,0.45801442972302786,0.06,1.19
Cameo,12.95898809052606,3.516849879172327,11.941632838731795,3.8832062839281805,4,fresh_standard,2.15,2.8069994385664,1.75,0.0
